State,County,PERPOV10,POPLOSS10,POPLOSS10
AL,Autauga,0,0,0
AL,Baldwin,0,0,0
AL,Barbour,1,0,0
AL,Bibb,0,0,0
AL,Blount,0,0,0
AL,Bullock,1,0,0
AL,Butler,1,1,1
AL,Calhoun,0,0,0
AL,Chambers,0,1,1
AL,Cherokee,0,0,0
AL,Chilton,0,0,0
AL,Choctaw,1,1,1
AL,Clarke,1,0,0
AL,Clay,0,0,0
AL,Cleburne,0,0,0
AL,Coffee,0,0,0
AL,Colbert,0,0,0
AL,Conecuh,1,0,0
AL,Coosa,0,0,0
AL,Covington,0,0,0
AL,Crenshaw,0,0,0
AL,Cullman,0,0,0
AL,Dale,0,0,0
AL,Dallas,1,1,1
AL,DeKalb,0,0,0
AL,Elmore,0,0,0
AL,Escambia,1,0,0
AL,Etowah,0,0,0
AL,Fayette,0,0,0
AL,Franklin,0,0,0
AL,Geneva,0,0,0
AL,Greene,1,1,1
AL,Hale,1,0,0
AL,Henry,0,0,0
AL,Houston,0,0,0
AL,Jackson,0,0,0
AL,Jefferson,0,0,0
AL,Lamar,0,0,0
AL,Lauderdale,0,0,0
AL,Lawrence,0,0,0
AL,Lee,0,0,0
AL,Limestone,0,0,0
AL,Lowndes,1,0,0
AL,Macon,1,1,1
AL,Madison,0,0,0
AL,Marengo,1,1,1
AL,Marion,0,0,0
AL,Marshall,0,0,0
AL,Mobile,0,0,0
AL,Monroe,1,0,0
AL,Montgomery,0,0,0
AL,Morgan,0,0,0
AL,Perry,1,1,1
AL,Pickens,1,0,0
AL,Pike,1,0,0
AL,Randolph,0,0,0
AL,Russell,0,0,0
AL,St. Clair,0,0,0
AL,Shelby,0,0,0
AL,Sumter,1,1,1
AL,Talladega,0,0,0
AL,Tallapoosa,0,0,0
AL,Tuscaloosa,0,0,0
AL,Walker,0,0,0
AL,Washington,0,0,0
AL,Wilcox,1,1,1
AL,Winston,0,0,0
AK,Aleutians East,0,0,0
AK,Aleutians West,0,0,0
AK,Anchorage,0,0,0
AK,Bethel,0,0,0
AK,Bristol Bay,0,1,1
AK,Denali,0,0,0
AK,Dillingham,0,0,0
AK,Fairbanks North Star,0,0,0
AK,Haines,0,0,0
AK,Hoonah-Angoon,0,1,1
AK,Juneau,0,0,0
AK,Kenai Peninsula,0,0,0
AK,Ketchikan Gateway,0,0,0
AK,Kodiak Island,0,0,0
AK,Lake and Peninsula,0,0,0
AK,Matanuska-Susitna,0,0,0
AK,Nome,0,0,0
AK,North Slope,0,0,0
AK,Northwest Arctic,0,0,0
AK,Petersburg,0,0,0
AK,Prince of Wales-Hyder,0,0,0
AK,Sitka,0,0,0
AK,Skagway,0,1,1
AK,Southeast Fairbanks,0,0,0
AK,Valdez-Cordova,0,0,0
AK,Wade Hampton,1,,
AK,Wrangell,0,,
AK,Yakutat,0,,
AK,Yukon-Koyukuk,1,,
AZ,Apache,1,,
AZ,Cochise,0,,
AZ,Coconino,0,,
AZ,Gila,0,,
AZ,Graham,0,,
AZ,Greenlee,0,,
AZ,La Paz,0,,
AZ,Maricopa,0,,
AZ,Mohave,0,,
AZ,Navajo,1,,
AZ,Pima,0,,
AZ,Pinal,0,,
AZ,Santa Cruz,0,,
AZ,Yavapai,0,,
AZ,Yuma,0,,
AR,Arkansas,0,,
AR,Ashley,0,,
AR,Baxter,0,,
AR,Benton,0,,
AR,Boone,0,,
AR,Bradley,1,,
AR,Calhoun,0,,
AR,Carroll,0,,
AR,Chicot,1,,
AR,Clark,0,,
AR,Clay,0,,
AR,Cleburne,0,,
AR,Cleveland,0,,
AR,Columbia,1,,
AR,Conway,0,,
AR,Craighead,0,,
AR,Crawford,0,,
AR,Crittenden,1,,
AR,Cross,0,,
AR,Dallas,0,,
AR,Desha,1,,
AR,Drew,0,,
AR,Faulkner,0,,
AR,Franklin,0,,
AR,Fulton,0,,
AR,Garland,0,,
AR,Grant,0,,
AR,Greene,0,,
AR,Hempstead,0,,
AR,Hot Spring,0,,
AR,Howard,0,,
AR,Independence,0,,
AR,Izard,0,,
AR,Jackson,0,,
AR,Jefferson,1,,
AR,Johnson,0,,
AR,Lafayette,1,,
AR,Lawrence,0,,
AR,Lee,1,,
AR,Lincoln,0,,
AR,Little River,0,,
AR,Logan,0,,
AR,Lonoke,0,,
AR,Madison,0,,
AR,Marion,0,,
AR,Miller,0,,
AR,Mississippi,1,,
AR,Monroe,1,,
AR,Montgomery,0,,
AR,Nevada,1,,
AR,Newton,1,,
AR,Ouachita,0,,
AR,Perry,0,,
AR,Phillips,1,,
AR,Pike,0,,
AR,Poinsett,1,,
AR,Polk,0,,
AR,Pope,0,,
AR,Prairie,0,,
AR,Pulaski,0,,
AR,Randolph,0,,
AR,St. Francis,1,,
AR,Saline,0,,
AR,Scott,0,,
AR,Searcy,1,,
AR,Sebastian,0,,
AR,Sevier,0,,
AR,Sharp,0,,
AR,Stone,0,,
AR,Union,0,,
AR,Van Buren,0,,
AR,Washington,0,,
AR,White,0,,
AR,Woodruff,1,,
AR,Yell,0,,
CA,Alameda,0,,
CA,Alpine,0,,
CA,Amador,0,,
CA,Butte,0,,
CA,Calaveras,0,,
CA,Colusa,0,,
CA,Contra Costa,0,,
CA,Del Norte,0,,
CA,El Dorado,0,,
CA,Fresno,0,,
CA,Glenn,0,,
CA,Humboldt,0,,
CA,Imperial,0,,
CA,Inyo,0,,
CA,Kern,0,,
CA,Kings,0,,
CA,Lake,0,,
CA,Lassen,0,,
CA,Los Angeles,0,,
CA,Madera,0,,
CA,Marin,0,,
CA,Mariposa,0,,
CA,Mendocino,0,,
CA,Merced,0,,
CA,Modoc,0,,
CA,Mono,0,,
CA,Monterey,0,,
CA,Napa,0,,
CA,Nevada,0,,
CA,Orange,0,,
CA,Placer,0,,
CA,Plumas,0,,
CA,Riverside,0,,
CA,Sacramento,0,,
CA,San Benito,0,,
CA,San Bernardino,0,,
CA,San Diego,0,,
CA,San Francisco,0,,
CA,San Joaquin,0,,
CA,San Luis Obispo,0,,
CA,San Mateo,0,,
CA,Santa Barbara,0,,
CA,Santa Clara,0,,
CA,Santa Cruz,0,,
CA,Shasta,0,,
CA,Sierra,0,,
CA,Siskiyou,0,,
CA,Solano,0,,
CA,Sonoma,0,,
CA,Stanislaus,0,,
CA,Sutter,0,,
CA,Tehama,0,,
CA,Trinity,0,,
CA,Tulare,0,,
CA,Tuolumne,0,,
CA,Ventura,0,,
CA,Yolo,0,,
CA,Yuba,0,,
CO,Adams,0,,
CO,Alamosa,1,,
CO,Arapahoe,0,,
CO,Archuleta,0,,
CO,Baca,0,,
CO,Bent,0,,
CO,Boulder,0,,
CO,Broomfield,0,,
CO,Chaffee,0,,
CO,Cheyenne,0,,
CO,Clear Creek,0,,
CO,Conejos,0,,
CO,Costilla,1,,
CO,Crowley,0,,
CO,Custer,0,,
CO,Delta,0,,
